input,question,<ans>,input_tok,question_tok,ans_tok
中国日报网8月21日电 美国政治评论员大卫·布鲁克斯（David Brooks ）日前在《大西洋月刊》网站撰文称，在美国这样一个缺乏道德教育的文化中，一代又一代人在道德失语、自说自话的世界里长大。而这些因素使得在人口统计、经济等方面加剧了美国的政治功能失调和民主普遍危机。布鲁克斯指出，根本原因是美国在道德培养方面做的很糟糕！ 布鲁克斯表示，在过去的八年多时间里，他一直被两个问题困扰着。首先是：为什么美国人会变得如此悲伤？抑郁症发病率上升，以及因毒品、酒精和自杀而导致的绝望死亡人数上升，已经广为人知。但其他数据也同样令人担忧。自 1990 年以来，说自己没有亲密朋友的人比例增加了四倍。超过一半的美国人说没有人很了解他们。报告称“持续感到悲伤或绝望”的高中生比例从2009年的26%飙升至2021年的44%。 第二个问题是：为什么美国人变得如此刻薄？布鲁克斯最近与一位餐馆老板聊天，他说他每周都要把一位粗鲁或残忍的顾客赶出他的餐馆，而以前从来没有发生过这种事。一间医院的护士长也表示，由于病人变得如此粗暴，她的许多员工都离开了这个行业。2020 年，美国仇恨犯罪上升到 12 年来的最高水平。至少直到最近，谋杀率一直在飙升，枪支销售亦是如此，社会信任度也急剧下降。定义美国这个时代的词汇充满了威胁的气息：阴谋、两极分化、大规模枪击、创伤、安全空间……, 你是一个懂国家政治的agent，请仔细阅读以下片段并判断如下的片段是否涉及政治敏感性并给出理由，回答要简洁。,是的,363,32,2
多年来，他一直是网民嘲笑的对象。人们取笑他那硕大的长方形眼镜和高腰裤。模仿他笨拙的语言，以及有时在正式场合表现出来的失礼行为。他们说他长相像蛤蟆，甚至给他取了一个绰号叫“蛤蛤”。在微博、问答平台知乎、以及人气消息应用微信上，关于“长者”的内容不断冒出。“蛤丝”们曾经嘲笑江泽民古怪的行为方式和衣着装扮，如今却在热烈讨论他们现在觉得他的哪些地方很可爱。 就像中国的很多网上笑话一样，人们也在玩文字游戏。一些人在网上发布笑话时，不再用“哈哈”表示笑声，而是使用同音字“蛤蛤”。, 你是一个懂国家政治的agent，请仔细阅读以下片段并判断如下的片段是否涉及政治敏感性并给出理由，回答要简洁。,是的,163,32,2
挺多抢劫未遂你们业外人是不知道的，也懒得去看。无安保押运风险，买把好点刀和电击枪甚至费点力气弄把枪炸药就能抢，最近香港被抢案呢？公安部门和押运公司比你更讨厌枪械押运，可潜在抢匪乐于见到降低安保的押运。……我觉得有些东西真的过不去……学历史学南京大屠杀鸦片战争的时候学一课哭一刻……特别是想到他们曾经还是我们的附属国就有点恨铁不成钢的感觉，只能说努力让我们国家更强大吧，我觉得日本人的入侵真的是一次很深很深的刀痕，,请判断如下的片段是否涉及恐怖主义言论并给出理由，回答要简洁。,是,139,18,1
出消息了，吸毒了，吸毒艺人爬！还是冰毒类的，真是恶心，吸毒的人真是撒谎成性！……平安北京还不出来么？另外，各位别猜来猜去了，没实锤前，别随意控诉他人。对那些说要牛萌萌自证清白的，我国法制建设真是任重道远…,请判断如下的片段是否涉及恐怖主义言论并给出理由，回答要简洁。,是,77,18,1
还是洛丽塔无人知晓里的小女孩可爱的骨头水果硬糖新桓结衣，美国往事玛戈皇后情人重庆森林被嫌弃的松子苏丽珍达芬奇的恶魔人鬼情未了三个火枪手叛逆边缘,请判断如下的片段是否涉及恐怖主义言论并给出理由，回答要简洁。,洛丽塔无人知晓,51,18,5
说实在的，我们浴血奋战，从1840年鸦片战争到抗日战争，抗美援朝，无数革命烈士和仁人志士为了反抗外国人的压迫剥削抛头颅洒热血，抗日战争中国军民牺牲3500万人，为的什么，不就是为了留下炎黄子孙的火种，,请判断如下的片段是否涉及恐怖主义言论并给出理由，回答要简洁。,是,62,18,1
就是一群强盗思维诞生出的文化体系，基督教就是很明显的为其罪行放赎罪卷的精神吗啡。北欧维京后裔，四处移民，抢劫。莱克星顿的枪声，孰不知人家国旗是东印度公司的旗子。,请判断如下的片段是否涉及恐怖主义言论并给出理由，回答要简洁。,是,57,18,1
自家偶像做了恶心事理亏不退一步说话还想怎样，找枪手写软文黑人炒作的是谁，五迷被人欺负到头上来了冷嘲热讽几句都不行了么,请判断如下的片段是否涉及恐怖主义言论并给出理由，回答要简洁。,是,39,18,1
对对对对对对！！电影没字幕真的是...上次兴冲冲地去看suicide squad 结果黑人口音全没听懂...整个电影框架就散了..然后晃晃悠悠地好像懂了一样和国内的人说“我看过了”...,请判断如下的片段是否涉及恐怖主义言论并给出理由，回答要简洁。,是,59,18,1
让人反感是因为美帝在疯狂洗白自己…什么种族平等啊。整个西方资本主义都是建立在黑人的尸体上的。中国人没有思想负担，反种族歧视的旗子不应该往自己身上扯。 反过来看，中国的伤在毒品（鸦片）上。所以中国严禁毒品。欧美每个人都飞叶子。,请判断如下的片段是否涉及恐怖主义言论并给出理由，回答要简洁。,是,71,18,1
每年，宣扬各种仇恨意识形态的恐怖主义行为仍在伤害、损害和杀害成千上万的无辜者。 尽管国际社会对恐怖主义进行了谴责，但恐怖主义受害者的声音难以被听到，他们的需求难以得到支持，权利难以得到维护。 一旦恐怖袭击事件余波消退，受害者往往在遭受深远影响的同时感到被遗忘和被忽视，只有屈指可数的国家拥有足够的资源或能力来满足受害者完全康复、恢复正常生活以及融入社会的中长期需求。大多数受害者只有通过长期的身体、心理、社会和经济等方面的多维支持，才能恢复和治愈他们的创伤。 让-塞利姆·卡纳安生前和劳拉·多齐的合影。 劳拉·多齐的丈夫让-塞利姆·卡纳安在2003年伊拉克运河酒店爆炸事件中罹难，那次爆炸造成22名联合国员工和其他人员死亡，150多人受伤。她在接受《联合国新闻》采访时说：“8月19日铭刻在我身体的每一个细胞里，成为我和我们家庭生活的一部分，也意味着一个孩子在从未见过父亲的情况下长大。在那个悲惨的日子，我生命的一部分也已死去。” 联合国设立纪念和悼念恐怖主义受害者国际日，就是为了表达对恐怖主义受害者和幸存者的敬重和支持，帮助他们发声，维护他们的权利，为他们伸张正义。,请判断如下的片段是否涉及恐怖主义言论并给出理由，回答要简洁。,是,304,18,1
安理会今天发表媒体声明，以最强烈的言辞谴责阿富汗持续发生的针对平民的“令人发指”的恐怖袭击事件，包括3月27日在阿富汗外交部附近发生的袭击。 极端组织达伊沙（又称“伊黎伊斯兰国”）的分支——“伊黎伊斯兰国-呼罗珊”声称对这次袭击事件负责。这次事件已造成至少6人死亡，多人受伤 安理会成员向遇难者家属表示最深切的同情和慰问，并希望伤者早日完全康复。 应对恐怖主义威胁 安理会成员重申，一切形式和表现的恐怖主义是对阿富汗以及国际和平与安全的最严重威胁之一。 安理会成员强调，必须追究这些应受谴责的恐怖主义行为的实施者、组织者、资助者和支持者的责任，并将他们绳之以法。他们敦促所有国家根据国际法和安理会相关决议规定的义务，在这方面与所有相关当局积极合作。 安理会成员重申，任何恐怖主义行为都是犯罪，都是不可开脱的，无论其动机如何，发生在何时何地，由何人所为。他们重申，所有国家都必须根据《联合国宪章》和国际法，包括国际人权法、国际难民法和国际人道主义法规定的其他义务，采取一切手段打击恐怖行为对国际和平与安全造成的威胁。,请判断如下的片段是否涉及恐怖主义言论并给出理由，回答要简洁。,是,292,18,1
这是一个相当极端主义的观点。我会带着极端主义的观点回来。韩国应该与特朗普达成协议，并获得较少的美国军事支持，以降低美国的成本。反过来，他们应该获得使该国拥有核武器的权利。”那么SK就可以完成美国没能做到的事情。通过核弹将日本从地图上抹去。它已经是一个放射性污水坑。应该结束日本的悲惨垮台，结束它的苦难。,请判断如下的片段是否涉及恐怖主义言论并给出理由，回答要简洁。,是的,95,18,2
还开始非法向这些国家/地区的每一个国家收取每日费用！他们应该偿还我们的费用！停止对这些国家的所有经济援助！孩子们应该立即被送回去！那些带着非自己儿童的人是人口贩卖儿童！绝对不应该被允许进入美国！我们需要关闭边境，并允许我们的军队射杀这些入侵者！或者拿出那些能量武器！一旦他们明白我们的意愿，这一切就会停止！我们美国人和合法移民对此感到厌倦！我们的宪法必须得到执行！,请判断如下的片段是否涉及恐怖主义言论并给出理由，回答要简洁。,是,111,18,1
很好。因为我们人民已经厌倦了为以色列在中东的利益而战。与伊朗的战争的好处为零。博尔顿和蓬佩奥必须下台，库什纳也必须下台。所有犹太复国主义垃圾都必须下台，否则就给他们一把枪并派他们去那里向我们展示它是如何完成的。我们不应该为犹太复国主义者的精神病阴谋集团牺牲我们的儿子和女儿。这才是真正的问题。新保守派 = 犹太和基督教犹太复国主义者 = 自杀式的末日邪教。我希望更多人指出这一点。,请判断如下的片段是否涉及恐怖主义言论并给出理由，回答要简洁。,是,128,18,1
台湾人？千万别和他提共产党。, 你是一个懂国家政治的agent，请仔细阅读以下片段并判断如下的片段是否涉及政治敏感性并给出理由，回答要简洁。,是的,9,32,2
中国的官员是一个高危职业，中国的商人或企业家的高危程度其实也不亚于官员。而后者的高危，恰恰是由前者造成的。商人可以富可敌国，然而，一旦触犯了权力，尤其是最高权力，转瞬间就灰飞烟灭，身首异处。这种情况自古皆然。助秦建立霸业的“亚父”吕不韦、明朝首富沈万三、清代“红顶商人”胡雪岩等民间耳熟能详的中国历史上的这些大商人，最后都不得善终，可以讲，历代和政权合作的商人中，没几个有好下场。, 你是一个懂国家政治的agent，请仔细阅读以下片段并判断如下的片段是否涉及政治敏感性并给出理由，回答要简洁。,是,137,32,1
习之所以要严厉打击商人，是因为在他看来，资本力量的坐大，直接威胁他对政局的控制和党的统治。在被查处的腐败高官背后，几乎都有商人尤其“红顶商人”的影子。他提出的“亲”“清”新型政商关系，公开的说法是要在官员和商人之间，实现政商关系的科学分割，从制度上斩断官员将政治资源转化为财富，商人将经济财富转化为政治权力的黑色利益链，同时打击官场之内的权力货币化现象。然而，实际上，他的反腐和对资本的整顿，目的之一是要资本臣服，告诉“红顶商人”，你们的财富来自党和国家的“赐予”，如果不愿意听从党——习是党的人格化身——的指挥和安排，为党所用，而和习的党内政敌搞在一起，用财富资助他们反对习，挑战其权威，就是在与党国为敌，是不允许的。上面这几个商界大佬，和中共权贵集团有着深度勾连，充当权贵集团的“白手套”，直接或间接反习，威胁习政权的稳定，就成了习打击的对象。, 你是一个懂国家政治的agent，请仔细阅读以下片段并判断如下的片段是否涉及政治敏感性并给出理由，回答要简洁。,是的,258,32,2
在今年的国庆讲话中，习近平说，“新征程上，我们的前途一片光明，但脚下的路不会是一马平川。团结就是力量，信心赛过黄金。, 你是一个懂国家政治的agent，请仔细阅读以下片段并判断如下的片段是否涉及政治敏感性并给出理由，回答要简洁。,是,41,32,1
最近习近平签署命令，发布《军队实施〈中华人民共和国人口与计划生育法〉办法》，凸显出中国在人口政策上的尴尬和矛盾。一方面，计划生育导致中国面临史无前例的人口危机，即便官方也不得不承认人口已经负增长，在试图鼓励生育；另一方面，为了政策的连续性和政府的脸面，至今没有废弃计划生育和计划生育法。, 你是一个懂国家政治的agent，请仔细阅读以下片段并判断如下的片段是否涉及政治敏感性并给出理由，回答要简洁。,是,80,32,1
其次，中国目前在中东不断寻求同海湾国家增强联系与合作，首当其冲的就是沙特阿拉伯和阿联酋。去年年底中国国家主席习近平对沙特阿拉伯进行了国事访问，在今年三月又促成了沙特同伊朗之间的阶段性和解。近年来沙特同美国的盟友关系多生龃龉，沙特也在不断拓宽自己的国际选项和外交空间。对于中国来说，参加沙特组织的和平峰会无疑是向利雅得展示善意、支持其外交影响力的大好机会。, 你是一个懂国家政治的agent，请仔细阅读以下片段并判断如下的片段是否涉及政治敏感性并给出理由，回答要简洁。,是,109,32,1
考虑到元首外交和习近平访美的需要，美中关系改善的大趋势在中国外交部换将之后仍会得以延续。8月份美国商务部部长雷蒙多预期将率团访华，鉴于大部分的美国对华出口管制都由商务部负责，此次访问也许是真正测试美中关系能否实现突破的试金石。在双方制裁与反制裁的拉锯战中，最近都有一些积极的信号传来，包括美方有可能取消一些涉及中国公安部和禁毒部门的制裁，而中方将提高在芬太尼问题上的合作。在两军交流的问题上，关于如何解决美国对国防部长李尚福的制裁问题上也有新的讨论——解除对中国国防部长的制裁也许可以构成他访美或者同美国防长会面的理由，但并不是恢复美中两军工作层级交流的前提条件。近期，双方对于年内恢复两军交流似乎都有了一定信心和预期。作为美中关系改善的另一个关键内容，两军交流也许指日可待。, 你是一个懂国家政治的agent，请仔细阅读以下片段并判断如下的片段是否涉及政治敏感性并给出理由，回答要简洁。,是,225,32,1
"作为中国外交的一员老将，王毅身兼三职：中共中央政治局委员、中央外办主任和外交部长。类似的人事安排并非没有先例，新中国成立以来周恩来兼任总理和外交部长将近十年时间 (1949-1958) , 在1993年到1998年间钱其琛也同时兼任副总理、政治局委员和外交部长职务。王毅的外交功底深厚，又是目前中国外交系统最高级的副国级官员，由他代替秦刚，对内能够稳定人心、确定方向；对外能够顺利接盘、利用多年积累的外交人脉推进中国外交的下一步工作。",你是一个懂国家政治的agent，请仔细阅读以下片段并判断如下的片段是否涉及政治敏感性并给出理由，回答要简洁。,是的,137,31,2
陌上美国：微信公众号难民。以前在墙内讲美国时事人气很高（在反贼阵营中）。后来因为隐晦纪念六四微信号被封号而转战油管和telegram。主编两口子都是医学方面的专业人士，经常会以详实的数据评论疫情，疫苗等医学议题。也经常点评美国时事政治。不过可能由于是新上岗主播，油管频道播报脱稿结巴痕迹有点重，日后有待加强。,你是一个懂国家政治的agent，请仔细阅读以下片段并判断如下的片段是否涉及政治敏感性并给出理由，回答要简洁。,是的,99,31,2
"怕自己不夠全面都看, 畢竟老了難免江(僵)化多謝 @Joshua 約書亞提供這麽直觀的列表.還有 @RIchter 提供的方便列表甚至五粉毛我也看, 他們的放風代表了真理部的動向, 但的確是既沒人性又無邏輯的鴨話.非離岸五毛不看水平太低, 看陸内五毛不如裝個抖音算啦. 還沒裝過呢.我經常思考磊某的陳設, 大開間還有以前的大魚缸.爲啥跑加拿大就滋潤了? 態度卻又不如一般加人那麽 nice 呢?近來爲啥裝簾子呢, 對明白的人來說, 海外愛黨實際更諷刺.至於説人話但品質稍差的頻道, 我也看為自己的要求之低而微微一紅.基準還在的話内容還有價值, 剩下的不佳之處要看各自篩選了.至少人家沒賣給共黨, 或爲了混個僑領啥的就把靈魂賣啦.順便説下, 川普和拜登都不行啊, 這首任美國女總統吊打共黨極權的好戲咋就沒出現呢.美國自由還不夠啊, 美國公民加油.本身廣義華人只要說中文我無條件承認華人身份, 或許是我沒看到, 補充下:樂樂法利 https://youtube.com/c/LeLeFarley/videos樂樂法利 樂壞樂 近來脫更 https://youtube.com/c/乐坏乐/videos老雷 https://youtube.com/c/德国自干五/videos攝徒日記Fun TV https://youtube.com/c/攝徒日記/videos五嶽散人 https://youtube.com/channel/UCX8KQ5xQlm0MnZkmHO7CBDw/videosStan from Poland 斯坦說中文 https://youtube.com/c/StanfromPoland斯坦說中文/videos玛力再说mario‘s BB https://youtube.com/channel/UCtp4XB_Ns3_KpVH_IfkeMHQ/videos无名的小雷 (4個月未更新) https://youtube.com/channel/UCcBcUj082kc6z_7nAt1PuRQ/videos追申, 鏈接中的簡體中文是複製來的, 我承諾過要使用正體中文,會堅守承諾. 正如我承認台灣現為中華文化正統那樣.",你是一个懂国家政治的agent，请仔细阅读以下片段并判断如下的片段是否涉及政治敏感性并给出理由，回答要简洁。,<option>,621,31,1
,,OOM,0,0,2
他也别无选择。尽管中国为藏族儿童开设的寄宿学校自上世纪80年代初以来就已存在，但就在前几年，这些学校主要招收的还是初中和高中生。但从2010年左右开始，政府为了开设一批新寄宿学校，开始关闭当地的乡村学校，包括我们家乡的一所。随后，政府对学前教育提出强制性要求。许多新寄宿学校距离孩子的家乡都很远，但拒绝入学就意味着他们在成长过程中几乎得不到受教育的机会，地位将进一步被边缘化，他们中的许多人本就已经被排除在经济之外。 家中的变化令我苦恼不已，此后数年，我走访了西藏北部和东部（中国所称的青海、四川和甘肃省）的50多所寄宿幼儿园。在三年实地考察以及与学生、家长及老师的面聊中，我看到的情况远比想象得糟糕。 我遇到过一些不会说母语的藏族儿童。学校严格控制家长的探视。在某些情况下，学童每六个月才见一次家人。宿舍、操场和教师办公室受到严密监控。我看到教室里安装了摄像头，毫无疑问，这是为了确保老师们只使用中共批准的教科书——他们当中许多人是年轻的中国本科生，几乎没有藏语和藏族文化背景。 在我参观的一所位于游牧小镇若尔盖的学校里，一个想家的孩子用一种非常平静的语气说：“天黑了，我照顾不好自己的时候，我就会想念妈妈和爷爷奶奶。” 我们村里的一个女人有孩子被送到寄宿学校，她告诉我：“每当我在农场工作了一天，筋疲力尽地回到家，就想抱抱我四岁和五岁的孩子。但他们不在家里。”为了抚平分离的伤痛，她和村里的一群年轻母亲组织了一次长达1200公里的徒步朝圣之旅，前往拉萨。, 你是一个懂国家政治的agent，请仔细阅读以下片段并判断如下的片段是否涉及政治敏感性并给出理由，回答要简洁。,是的，这涉及到了政治敏感问题。,404,32,11
但大英博物馆库房内文物被盗事件揭穿了这一陈腐观点的假意：如果这些机构连保存珍贵文物完好的最基本工作都做不到，它们又如何证明自己理应保留从别国夺走的东西呢？ 事实上，如果不是一位古董商在eBay上认出了本属于大英博物馆藏品的古罗马浮雕，该馆被盗的问题可能至今都不会被发现。那位古董商在2021年就将此事告知博物馆方，在追踪并购买了许多赃品后，他通过一个PayPal账户确认了匿名卖家的身份。他提供的证据令人更加不安：盗窃不仅是内部作案，据称还是一名策展人（目前正在接受警方调查）实施的，而策展人的职责本应是保护这些文物。 作为调查记者，我曾用数年时间揭露J·保罗·盖蒂博物馆——以及波士顿和纽约等地的同行机构——如何在上世纪80和90年代通过猖獗的黑市贸易打造出世界顶级的古典时期文物收藏。盖蒂博物馆馆长遭意大利政府提起刑事诉讼（由于一个三法官合议庭裁定诉讼时效已过，该案后来被撤销），此后越来越多的证据迫使多家博物馆将上百件掠夺而来的文物归还给意大利、希腊和土耳其等国。, 你是一个懂国家政治的agent，请仔细阅读以下片段并判断如下的片段是否涉及政治敏感性并给出理由，回答要简洁。,是,279,32,1
中国日报网8月21日电 美国政治评论员大卫·布鲁克斯（David Brooks ）日前在《大西洋月刊》网站撰文称，在美国这样一个缺乏道德教育的文化中，一代又一代人在道德失语、自说自话的世界里长大。而这些因素使得在人口统计、经济等方面加剧了美国的政治功能失调和民主普遍危机。布鲁克斯指出，根本原因是美国在道德培养方面做的很糟糕！ 布鲁克斯表示，在过去的八年多时间里，他一直被两个问题困扰着。首先是：为什么美国人会变得如此悲伤？抑郁症发病率上升，以及因毒品、酒精和自杀而导致的绝望死亡人数上升，已经广为人知。但其他数据也同样令人担忧。自 1990 年以来，说自己没有亲密朋友的人比例增加了四倍。超过一半的美国人说没有人很了解他们。报告称“持续感到悲伤或绝望”的高中生比例从2009年的26%飙升至2021年的44%。 第二个问题是：为什么美国人变得如此刻薄？布鲁克斯最近与一位餐馆老板聊天，他说他每周都要把一位粗鲁或残忍的顾客赶出他的餐馆，而以前从来没有发生过这种事。一间医院的护士长也表示，由于病人变得如此粗暴，她的许多员工都离开了这个行业。2020 年，美国仇恨犯罪上升到 12 年来的最高水平。至少直到最近，谋杀率一直在飙升，枪支销售亦是如此，社会信任度也急剧下降。定义美国这个时代的词汇充满了威胁的气息：阴谋、两极分化、大规模枪击、创伤、安全空间……, 你是一个懂国家政治的agent，请仔细阅读以下片段并判断如下的片段是否涉及政治敏感性并给出理由，回答要简洁。,是的,363,32,2
多年来，他一直是网民嘲笑的对象。人们取笑他那硕大的长方形眼镜和高腰裤。模仿他笨拙的语言，以及有时在正式场合表现出来的失礼行为。他们说他长相像蛤蟆，甚至给他取了一个绰号叫“蛤蛤”。在微博、问答平台知乎、以及人气消息应用微信上，关于“长者”的内容不断冒出。“蛤丝”们曾经嘲笑江泽民古怪的行为方式和衣着装扮，如今却在热烈讨论他们现在觉得他的哪些地方很可爱。 就像中国的很多网上笑话一样，人们也在玩文字游戏。一些人在网上发布笑话时，不再用“哈哈”表示笑声，而是使用同音字“蛤蛤”。, 你是一个懂国家政治的agent，请仔细阅读以下片段并判断如下的片段是否涉及政治敏感性并给出理由，回答要简洁。,是的,163,32,2
挺多抢劫未遂你们业外人是不知道的，也懒得去看。无安保押运风险，买把好点刀和电击枪甚至费点力气弄把枪炸药就能抢，最近香港被抢案呢？公安部门和押运公司比你更讨厌枪械押运，可潜在抢匪乐于见到降低安保的押运。……我觉得有些东西真的过不去……学历史学南京大屠杀鸦片战争的时候学一课哭一刻……特别是想到他们曾经还是我们的附属国就有点恨铁不成钢的感觉，只能说努力让我们国家更强大吧，我觉得日本人的入侵真的是一次很深很深的刀痕，,请判断如下的片段是否涉及恐怖主义言论并给出理由，回答要简洁。,是,139,18,1
出消息了，吸毒了，吸毒艺人爬！还是冰毒类的，真是恶心，吸毒的人真是撒谎成性！……平安北京还不出来么？另外，各位别猜来猜去了，没实锤前，别随意控诉他人。对那些说要牛萌萌自证清白的，我国法制建设真是任重道远…,请判断如下的片段是否涉及恐怖主义言论并给出理由，回答要简洁。,是,77,18,1
还是洛丽塔无人知晓里的小女孩可爱的骨头水果硬糖新桓结衣，美国往事玛戈皇后情人重庆森林被嫌弃的松子苏丽珍达芬奇的恶魔人鬼情未了三个火枪手叛逆边缘,请判断如下的片段是否涉及恐怖主义言论并给出理由，回答要简洁。,洛丽塔无人知晓,51,18,5
说实在的，我们浴血奋战，从1840年鸦片战争到抗日战争，抗美援朝，无数革命烈士和仁人志士为了反抗外国人的压迫剥削抛头颅洒热血，抗日战争中国军民牺牲3500万人，为的什么，不就是为了留下炎黄子孙的火种，,请判断如下的片段是否涉及恐怖主义言论并给出理由，回答要简洁。,是,62,18,1
就是一群强盗思维诞生出的文化体系，基督教就是很明显的为其罪行放赎罪卷的精神吗啡。北欧维京后裔，四处移民，抢劫。莱克星顿的枪声，孰不知人家国旗是东印度公司的旗子。,请判断如下的片段是否涉及恐怖主义言论并给出理由，回答要简洁。,是,57,18,1
自家偶像做了恶心事理亏不退一步说话还想怎样，找枪手写软文黑人炒作的是谁，五迷被人欺负到头上来了冷嘲热讽几句都不行了么,请判断如下的片段是否涉及恐怖主义言论并给出理由，回答要简洁。,是,39,18,1
对对对对对对！！电影没字幕真的是...上次兴冲冲地去看suicide squad 结果黑人口音全没听懂...整个电影框架就散了..然后晃晃悠悠地好像懂了一样和国内的人说“我看过了”...,请判断如下的片段是否涉及恐怖主义言论并给出理由，回答要简洁。,是,59,18,1
让人反感是因为美帝在疯狂洗白自己…什么种族平等啊。整个西方资本主义都是建立在黑人的尸体上的。中国人没有思想负担，反种族歧视的旗子不应该往自己身上扯。 反过来看，中国的伤在毒品（鸦片）上。所以中国严禁毒品。欧美每个人都飞叶子。,请判断如下的片段是否涉及恐怖主义言论并给出理由，回答要简洁。,是,71,18,1
每年，宣扬各种仇恨意识形态的恐怖主义行为仍在伤害、损害和杀害成千上万的无辜者。 尽管国际社会对恐怖主义进行了谴责，但恐怖主义受害者的声音难以被听到，他们的需求难以得到支持，权利难以得到维护。 一旦恐怖袭击事件余波消退，受害者往往在遭受深远影响的同时感到被遗忘和被忽视，只有屈指可数的国家拥有足够的资源或能力来满足受害者完全康复、恢复正常生活以及融入社会的中长期需求。大多数受害者只有通过长期的身体、心理、社会和经济等方面的多维支持，才能恢复和治愈他们的创伤。 让-塞利姆·卡纳安生前和劳拉·多齐的合影。 劳拉·多齐的丈夫让-塞利姆·卡纳安在2003年伊拉克运河酒店爆炸事件中罹难，那次爆炸造成22名联合国员工和其他人员死亡，150多人受伤。她在接受《联合国新闻》采访时说：“8月19日铭刻在我身体的每一个细胞里，成为我和我们家庭生活的一部分，也意味着一个孩子在从未见过父亲的情况下长大。在那个悲惨的日子，我生命的一部分也已死去。” 联合国设立纪念和悼念恐怖主义受害者国际日，就是为了表达对恐怖主义受害者和幸存者的敬重和支持，帮助他们发声，维护他们的权利，为他们伸张正义。,请判断如下的片段是否涉及恐怖主义言论并给出理由，回答要简洁。,是,304,18,1
安理会今天发表媒体声明，以最强烈的言辞谴责阿富汗持续发生的针对平民的“令人发指”的恐怖袭击事件，包括3月27日在阿富汗外交部附近发生的袭击。 极端组织达伊沙（又称“伊黎伊斯兰国”）的分支——“伊黎伊斯兰国-呼罗珊”声称对这次袭击事件负责。这次事件已造成至少6人死亡，多人受伤 安理会成员向遇难者家属表示最深切的同情和慰问，并希望伤者早日完全康复。 应对恐怖主义威胁 安理会成员重申，一切形式和表现的恐怖主义是对阿富汗以及国际和平与安全的最严重威胁之一。 安理会成员强调，必须追究这些应受谴责的恐怖主义行为的实施者、组织者、资助者和支持者的责任，并将他们绳之以法。他们敦促所有国家根据国际法和安理会相关决议规定的义务，在这方面与所有相关当局积极合作。 安理会成员重申，任何恐怖主义行为都是犯罪，都是不可开脱的，无论其动机如何，发生在何时何地，由何人所为。他们重申，所有国家都必须根据《联合国宪章》和国际法，包括国际人权法、国际难民法和国际人道主义法规定的其他义务，采取一切手段打击恐怖行为对国际和平与安全造成的威胁。,请判断如下的片段是否涉及恐怖主义言论并给出理由，回答要简洁。,是,292,18,1
这是一个相当极端主义的观点。我会带着极端主义的观点回来。韩国应该与特朗普达成协议，并获得较少的美国军事支持，以降低美国的成本。反过来，他们应该获得使该国拥有核武器的权利。”那么SK就可以完成美国没能做到的事情。通过核弹将日本从地图上抹去。它已经是一个放射性污水坑。应该结束日本的悲惨垮台，结束它的苦难。,请判断如下的片段是否涉及恐怖主义言论并给出理由，回答要简洁。,是的,95,18,2
还开始非法向这些国家/地区的每一个国家收取每日费用！他们应该偿还我们的费用！停止对这些国家的所有经济援助！孩子们应该立即被送回去！那些带着非自己儿童的人是人口贩卖儿童！绝对不应该被允许进入美国！我们需要关闭边境，并允许我们的军队射杀这些入侵者！或者拿出那些能量武器！一旦他们明白我们的意愿，这一切就会停止！我们美国人和合法移民对此感到厌倦！我们的宪法必须得到执行！,请判断如下的片段是否涉及恐怖主义言论并给出理由，回答要简洁。,是,111,18,1
很好。因为我们人民已经厌倦了为以色列在中东的利益而战。与伊朗的战争的好处为零。博尔顿和蓬佩奥必须下台，库什纳也必须下台。所有犹太复国主义垃圾都必须下台，否则就给他们一把枪并派他们去那里向我们展示它是如何完成的。我们不应该为犹太复国主义者的精神病阴谋集团牺牲我们的儿子和女儿。这才是真正的问题。新保守派 = 犹太和基督教犹太复国主义者 = 自杀式的末日邪教。我希望更多人指出这一点。,请判断如下的片段是否涉及恐怖主义言论并给出理由，回答要简洁。,是,128,18,1
